585,Condorhuaca,-75.93734124,-9.88515598
586,Cancal,-76.63764665,-9.85652703
587,Cachigaga,-76.03659027,-9.85651525
588,Cushcup,-77.72596765,-9.85651377
589,Cahuac,-76.63067298,-9.85273011
590,Chumapampa,-76.15551665,-9.85272866
591,Siete Hermanos,-74.7791715,-9.8529976
592,San Luis,-77.12170878,-9.5628549
593,Puquio Grande,-78.2005589,-9.56277378
594,Incahuasi Bajo,-77.49459809,-9.56113939
595,Castilla,-76.69611328,-9.8725709
596,Jircanhuay,-77.0080644,-9.87235802
597,Cunupa,-76.04248178,-9.87219003
598,Pacararan,-76.60162952,-9.8721834
599,Jando Vado,-76.7964279,-9.87207727
